block_number,tx_hash,addr,topics_from_addr,topics_to_addr,value,value_usd,is_sender_victim,num_first_matched_digits,num_last_matched_digits,intended_addr
25428000,0xa6af546942ebeeab8a020e178a48caabc33aa6b9d551b88b49c64f24c2d1eee4,0x55d398326f99059fF775485246999027B3197955,0xAAC6443045FfBCb088De79f0aeA04EDAe43C7747,0x3A83903d7EE1D52fD8bdDE3E8c0Ce30E6FD0Aa75,6.520772e+20,652.0772,True,3,4,0x3A871aaae85DeCe4966083660A69583A028aaa75
23163797,0x680a4e04a1f952d894d44519f4ecb673a89c8702795c487f7a46b8d0ab12e7d9,0x55d398326f99059fF775485246999027B3197955,0x6Ee9e9791622ee89dfdDC89F39f28ea74c312Ee7,0xE0b4C8D7032642D19574D89bDc4d79d6B703913C,6.500179e+20,650.0178999999999,True,3,5,0xE0bAbFF21595BF9E55636814C8439EAF3c43913c
28481604,0xa15ff00f8a4a38352c39237a4671125a9e3532ed250abb21e1364ae837169fc1,0x55d398326f99059fF775485246999027B3197955,0xace1d46cAF1FDf406346970C8AB71B53bDA85204,0x201Ed55F26dC13503C36be11D8166D86f4f079A1,6.5e+20,650.0,True,4,4,0x201E87033925E4e9d81c0c77a1E9444e90d979a1
25640032,0xdb8575db5f7aa8c19002f03689dfb42a9e76f47ec4d2bcedd74b2d21c67b7abb,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x2B2aB8Fa14BEaFB29B7f358985Ef14A76A0C6f08,0x27a7b150e4DB6cc453167ed084Ba633FE8D4410c,6.5e+20,650.0,True,3,4,0x27Aee6DD2fBa2a1BFcA1D252E95d7E63679F410C
27674580,0xaf72b80c94653ca4dc3274bfaed17805ef2618f4a0f103b0a657fddf062c1e8f,0x55d398326f99059fF775485246999027B3197955,0x2978Cc91472870151Bf7350F8c4C23f139131815,0x8d9795bB17d2A31590230AfE694fC30A3873c842,6.4e+20,640.0,True,3,5,0x8D9E5cB048737822A35579DAB10dF3257193c842
25686192,0x8c781a8fb7b5be8ee757d79a012871594b9d42cb0714fc0710dfaf50226e0025,0x55d398326f99059fF775485246999027B3197955,0x5008f00C8D3B60951650E42D7D4D2f3b9E4B0a0D,0x0F94eEC98b5591A4938B862E15B1f748f3f5AB2C,6.38e+20,638.0,True,3,5,0x0F91e65698e16a4666B885311649e4D7D1d5ab2c
32443380,0x766a124b108a0eb1e093c3a469cd84a8d612ad77f06ebf1df4cc7fdfe66dbcfa,0x55d398326f99059fF775485246999027B3197955,0xA84f285dA55D08c375F6d2023D3F57f9f47c4222,0xdbD0AfA6Ea8427423Ea694fA37764643A7652353,6.38e+20,638.0,True,3,4,0xdbdAe235C0F1a9Edd55b3f99CB8f27a9C6212353
39025175,0xad862ab9250a6046eeef1f54da6c535ecd419c1c0753f09aaced2d04397a54c0,0x55d398326f99059fF775485246999027B3197955,0xe7afe278f4aa493184f5650c5ba37f66ca676c94,0xaf0e1de1661c50fb590c5a409cbdf5b0c7f2b40b,6.375683e+20,637.5682999999999,True,4,6,0xaf0e894966376196286e4971a1c36f5018f2b40b
28378095,0xe4c071c0b34328620c8e53cd2e9da764e44415d56aeb3182507a8f3e1597a1dd,0x55d398326f99059fF775485246999027B3197955,0x5d33bCcb75f9C5b102EC72aa0a4fBe72b0e5eA08,0x37e9868A622131c1982AD6C1eE3cDB6797495ED4,6.340006e+20,634.0006000000001,True,4,4,0x37E9Ee192aF09E5FB40208Fa62cC66e0350F5ED4
27112729,0xfe9da86f7c50ef63094972cace5e5c469073811598da877fe927ff70d846d0bb,0x55d398326f99059fF775485246999027B3197955,0x1176F741AC898faec02D700473305b7A8B0BeA8E,0x2E4BCbC2135A055085Fe961f4E8F96d5aF607788,6.300182e+20,630.0182,True,4,4,0x2E4ba79Bb92907ea43484fD2673dE9810Ba97788
